Recital	Forces Unformatted	Attribute (Dropdown)	Parent Heading (Dropdown)	Formatted Force (Autogenerated)	Patterns with Hyperlinks (HTML)	General Category	Art Title	Art. Link (Autogen)	Art.
71	Users have the right not to be subject to significant consequences of solely automated decisions or profiling unless authorized by EU or member state law. It otherwise requires explicit consent or contract, as well as suitable safeguards.  This includes reviewing and challenging the automated decision, as well as protection from discrimination. Children may not be subject to such decisions.	Automated Processing, Minors	Processing which results in automated decisions or assessments	Users have the right not to be subject to significant consequences of solely automated decisions or profiling unless authorized by EU or member state law. It otherwise requires explicit consent or contract, as well as suitable safeguards. This includes reviewing and challenging the automated decision, as well as protection from discrimination. Children may not be subject to such decisions.  Automated individual decision-making including profiling; Recital 71 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. Also, as this information influences consent, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, should mention it.	General Obligations	Automated individual decision-making including profiling	https://gdpr-info.eu/art-22-gdpr	22
72	Profiling must adhere to European data protection law, and consider guidance offered by the Board	Automated Processing	Processing which results in automated decisions or assessments	Profiling must adhere to European data protection law, and consider guidance offered by the Board  Automated individual decision-making including profiling; Recital 72 	This is related to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Automated individual decision-making including profiling	https://gdpr-info.eu/art-22-gdpr	22
112	Users whose personal data is needed for public interest or vital interest of a natural person shall have that data processed, unless otherwise protected by their member state.	Public Interest, Vital Interest	Processing personal data for vital interests of a person	Users whose personal data is needed for public interest or vital interest of a natural person shall have that data processed, unless otherwise protected by their member state.  Derogations for specific situations; Recital 112 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Grounds	Derogations for specific situations	https://gdpr-info.eu/art-49-gdpr	49
46	Processing of personal data without consent may be permitted where it is necessary for the vital interest of a natural person.	Vital Interest	Processing personal data for vital interests of a person	Processing of personal data without consent may be permitted where it is necessary for the vital interest of a natural person.  Lawfulness of processing; Recital 46 	All <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may consider this. This also affects <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Grounds	Lawfulness of processing	https://gdpr-info.eu/art-6-gdpr	6
60	Controllers should ensure that their policies feature clear and concise explanations about processing, its consequences, and user choices in the matter. They may use machine-readable icons to assist this clarity.	Transparency	Informing users of your system	Controllers should ensure that their policies feature clear and concise explanations about processing, its consequences, and user choices in the matter. They may use machine-readable icons to assist this clarity.  Transparent information to be provided with and without collection, communication and modalities...; Recital 60 	Policy information can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Policy-Matching-Display">Policy Matching</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Dynamic-Privacy-Policy-Display">Dynamic</a>, or a simple <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Policy-Display">Privacy Policy Display</a>, enriched by appropriate <a class="pattern" href="https://privacypatterns.org/patterns/Layered-Policy-Design">Layering</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Wording">Wording</a>. An <a class="pattern" href="https://privacypatterns.org/patterns/Abridged-Terms-and-Conditions">Abridged</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Network-Client">Standardized Format</a> such as <a class="pattern" href="https://privacypatterns.org/patterns/Platform-for-Privacy-Preferences">PPP</a> may also help.  As this information influences consent, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a>, and <a class="pattern" href="https://privacypatterns.org/patterns/Negotiation-of-Privacy-Policy">Negotiation of Privacy Policy</a> should mention it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. Due to potential for misuse, <a class="pattern" href="https://privacypatterns.org/patterns/Reciprocity">Reciprocity</a> and Payback also benefit. This may also feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Transparent information to be provided with and without collection, communication and modalities...	https://gdpr-info.eu/chapter-3	12,13,14
13	Controllers of medium or smaller enterprises below 250 employees may be exempt from some obligations such as with logging, but must meet the same level of protection.	Accountability Derogation, SMEs	Principles of data protection	Controllers of medium or smaller enterprises below 250 employees may be exempt from some obligations such as with logging, but must meet the same level of protection.  Subject-matter and objectives; Recital 13 	This relates more to patterns within <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>	Considerations	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
18	Data protection only applies to commercial or professional activities, regardless of monetary motives.	Applicability	Principles of data protection	Data protection only applies to commercial or professional activities, regardless of monetary motives.  Material scope; Recital 18 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Material scope	https://gdpr-info.eu/art-2-gdpr	2
22	Controllers processing personal data within or from the European Union, through stable and effective arrangements, must adhere to the data protection principles.	Applicability	Principles of data protection	Controllers processing personal data within or from the European Union, through stable and effective arrangements, must adhere to the data protection principles.  Territorial scope; Recital 22 	This may feature within <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Territorial scope	https://gdpr-info.eu/art-3-gdpr	3
23	Controllers outside the European Union who target or profile any person within it are subject to data protection principles.	Applicability, Profiling, Third Country	Principles of data protection	Controllers outside the European Union who target or profile any person within it are subject to data protection principles.  Territorial scope; Recital 23 	This may feature within <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Territorial scope	https://gdpr-info.eu/art-3-gdpr	3
11	The obligations of the controller needs to be expressed in detail along with the user's rights.	Harmonization	Principles of data protection	The obligations of the controller needs to be expressed in detail along with the user's rights.  Subject-matter and objectives; Recital 11 	N/A	Considerations	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
39	Controllers must demonstrate that they follow the principles of data protection, including the provision of purposes and means, acquisition of fair consent through transparency, as well as data adequacy, accuracy, relevance, limitation, and security.	Accountability	Principles of data protection	Controllers must demonstrate that they follow the principles of data protection, including the provision of purposes and means, acquisition of fair consent through transparency, as well as data adequacy, accuracy, relevance, limitation, and security.  Principles relating to processing of personal data; Recital 39 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Principles	Principles relating to processing of personal data	https://gdpr-info.eu/art-5-gdpr	5
82	Processing activities of large organizations (250 employees or more), or which is regular, of sensitive data, or otherwise poses a risk to users, should be logged so as to demonstrate compliance to a supervisory authority. Such logs should not provide disproportionately invasive information, but should indicate categories of data, users, and recipients. There should also be contact information of relevant entities, and details on relevant data protection measures.	Accountability, SMEs	Principles of data protection	Processing activities of large organizations (250 employees or more), or which is regular, of sensitive data, or otherwise poses a risk to users, should be logged so as to demonstrate compliance to a supervisory authority. Such logs should not provide disproportionately invasive information, but should indicate categories of data, users, and recipients. There should also be contact information of relevant entities, and details on relevant data protection measures.  Records of processing activities and cooperation with the supervisory authority; Recital 82 	This pertains to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> patterns rather than <a class="strategy" href="https://privacypatterns.org/categories/control">control</a>. However, the need to log processing is one worth mentioning while Informing users. It may also influence consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may include it.	Principles	Records of processing activities and cooperation with the supervisory authority	https://gdpr-info.eu/chapter-4	30,31
83	Controllers should mitigate security risks using state of the art mechanisms within reason considering risks, nature of the data, as well as the cost of implementation. Confidentiality, integrity, availability, and resilience must be maintained. They must take measures to prevent misuse, whether intentional or not. Approved codes of conduct or certification mechanisms may be used to demonstrate security compliance.	Confidentiality	Principles of data protection	Controllers should mitigate security risks using state of the art mechanisms within reason considering risks, nature of the data, as well as the cost of implementation. Confidentiality, integrity, availability, and resilience must be maintained. They must take measures to prevent misuse, whether intentional or not. Approved codes of conduct or certification mechanisms may be used to demonstrate security compliance.  Security of processing; Recital 83 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Principles	Security of processing	https://gdpr-info.eu/art-32-gdpr	32
40	Controllers may not process data without consent or an adherence to legal requirements, including obligations for fulfilling a contract with the user.	Lawfulness	Principles of data protection	Controllers may not process data without consent or an adherence to legal requirements, including obligations for fulfilling a contract with the user.  Lawfulness of processing; Recital 40 	All <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may consider this. Note that it is not only about consent, but also about informing of other grounds. <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> may also feature this.	Principles	Lawfulness of processing	https://gdpr-info.eu/art-6-gdpr	6
A5A	Data processed by a controller or its processor must be done so lawfully, fairly, and in a transparent manner. This includes upholding user rights and data protection principles. Users must comprehend the potential consequences of their consent, and not be coerced into it.	Lawfulness, Fairness, and Transparency	Principles of data protection	Data processed by a controller or its processor must be done so lawfully, fairly, and in a transparent manner. This includes upholding user rights and data protection principles. Users must comprehend the potential consequences of their consent, and not be coerced into it.  Principles relating to processing of personal data; Recital A5A 	All patterns concerning personal data should adhere to this. This includes all <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> patterns, <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>, and likely all other privacy patterns.	Principles	Principles relating to processing of personal data	https://gdpr-info.eu/art-5-gdpr	5
57	Controllers should not collect additional identifying information solely to comply with data protection principles unless a user volunteers it. This would be necessary to access, rectify, erase, or restrict processing. Where this is the case, users must be notified. Digital identifiers used by users to authenticate shall be sufficient for identification.	Minimization	Principles of data protection	Controllers should not collect additional identifying information solely to comply with data protection principles unless a user volunteers it. This would be necessary to access, rectify, erase, or restrict processing. Where this is the case, users must be notified. Digital identifiers used by users to authenticate shall be sufficient for identification.  Processing which does not require identification; Recital 57 	While this is directed to controllers, users may also consider this in their consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. This is also related to <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Principles	Processing which does not require identification	https://gdpr-info.eu/art-11-gdpr	11
64	Controllers shall use all reasonable measures to verify the identity of a user, but not store personal data exclusively for this purpose.	Minimization	Principles of data protection	Controllers shall use all reasonable measures to verify the identity of a user, but not store personal data exclusively for this purpose.  Right of access by the data subject; Recital 64 	While this is directed to controllers, users may also consider this in their consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. This is also related to <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Principles	Right of access by the data subject	https://gdpr-info.eu/art-15-gdpr	15
A5BCE	Processing should be adequate, relevant, and limited to that which is proportionate to and necessary for compatible, specified, explicit, and legitimate purposes. Personal data should not be stored any longer than necessary for these purposes, unless such purposes are for archival in the public interest.	Minimization, Storage, and Purpose Limitation	Principles of data protection	Processing should be adequate, relevant, and limited to that which is proportionate to and necessary for compatible, specified, explicit, and legitimate purposes. Personal data should not be stored any longer than necessary for these purposes, unless such purposes are for archival in the public interest.  Principles relating to processing of personal data; Recital A5BCE 	All patterns concerning personal data should adhere to this. This includes all <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> patterns, <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>, and likely all other privacy patterns.	Principles	Principles relating to processing of personal data	https://gdpr-info.eu/art-5-gdpr	5
28	Controllers may apply pseudonymization as one of many measures to reduce data protection risks.	Pseudonymization	Principles of data protection	Controllers may apply pseudonymization as one of many measures to reduce data protection risks.  Definitions; Recital 28 	While this is mainly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> (or <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>. based, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may feature this as per need for informed consent. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. Notice on this may further be <a class="pattern" href="https://privacypatterns.org/patterns/Ambient-Notice">Ambient</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Asynchronous-Notice">Asynchronous</a>. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>.	Principles	Definitions	https://gdpr-info.eu/art-4-gdpr	4
29	Where pseudonymization is used, the controller themselves may perform it so long as identification requires data which is kept separately and securely.	Pseudonymization	Principles of data protection	Where pseudonymization is used, the controller themselves may perform it so long as identification requires data which is kept separately and securely.  Definitions; Recital 29 	Policy information can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Policy-Matching-Display">Policy Matching</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Dynamic-Privacy-Policy-Display">Dynamic</a>, or a simple <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Policy-Display">Privacy Policy Display</a>, enriched by appropriate <a class="pattern" href="https://privacypatterns.org/patterns/Layered-Policy-Design">Layering</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Wording">Wording</a>. An <a class="pattern" href="https://privacypatterns.org/patterns/Abridged-Terms-and-Conditions">Abridged</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Aware-Network-Client">Standardized Format</a> such as <a class="pattern" href="https://privacypatterns.org/patterns/Platform-for-Privacy-Preferences">PPP</a> may also help. While this is mainly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may feature this as per need for informed consent. It also relates to <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a> and <a class="strategy" href="https://privacypatterns.org/categories/separate">separate</a>.	Principles	Definitions	https://gdpr-info.eu/art-4-gdpr	4
30	When considering personal data, note that technical identifiers of personal devices or network communication may be combined to identify and profile a user.	Pseudonymization, Profiling	Principles of data protection	When considering personal data, note that technical identifiers of personal devices or network communication may be combined to identify and profile a user.  Definitions; Recital 30 	While this is directed to controllers, users may also consider this in their consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also relates to <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>.	Principles	Definitions	https://gdpr-info.eu/art-4-gdpr	4
A5DF	Personal data should be secured against unauthorized or unlawful processing, including loss of data, using appropriate measures, and keeping such data accurate where and as often as necessary. Where no longer purposeful, such data should be erased.	Security and Accuracy	Principles of data protection	Personal data should be secured against unauthorized or unlawful processing, including loss of data, using appropriate measures, and keeping such data accurate where and as often as necessary. Where no longer purposeful, such data should be erased.  Principles relating to processing of personal data; Recital A5DF 	All patterns concerning personal data should adhere to this. This includes all <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> patterns, <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>, and likely all other privacy patterns.	Principles	Principles relating to processing of personal data	https://gdpr-info.eu/art-5-gdpr	5
78	Implement Data Protection by Design and by Default as appropriate for the risks of processing, including minimization, transparency, intervenability, and state of the art security. Minimization includes the minimal collection, processing, storage, and sharing needed to fulfill a specified purpose. Technical and organizational measures surrounding this should be assessed when determining means, and during processing. Compliance may be demonstrated through an approved certification mechanism.	Transparency, Minimization, Security, Certification	Principles of data protection	Implement Data Protection by Design and by Default as appropriate for the risks of processing, including minimization, transparency, intervenability, and state of the art security. Minimization includes the minimal collection, processing, storage, and sharing needed to fulfill a specified purpose. Technical and organizational measures surrounding this should be assessed when determining means, and during processing. Compliance may be demonstrated through an approved certification mechanism.  Data protection by design and by default; Recital 78 	All patterns concerning personal data should adhere to this. This includes all <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> patterns, <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>, and likely all other privacy patterns.	Principles	Data protection by design and by default	https://gdpr-info.eu/art-25-gdpr	25
63	Users have the right to access their personal data freely, electronically, and in a timely manner. This includes information about its source, purposes, categories, recipients, retention, their rights, and potential consequences of processing (including logic used if automated/profiling and safeguards if transferring). Access requests must be proportionate to other's rights and what is feasible to perform before a fee is justified. The controller must demonstrate the need for a fee, or for better identifying the user.	Access, Automated Processing	Principles of data protection	Users have the right to access their personal data freely, electronically, and in a timely manner. This includes information about its source, purposes, categories, recipients, retention, their rights, and potential consequences of processing (including logic used if automated/profiling and safeguards if transferring). Access requests must be proportionate to other's rights and what is feasible to perform before a fee is justified. The controller must demonstrate the need for a fee, or for better identifying the user.  Right of access by the data subject; Recital 63 	This influences choices made by users, and is mostly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> may also feature it. This includes <a class="pattern" href="https://privacypatterns.org/patterns/Support-Selective-Disclosure">Support Selective Disclosure</a> in general. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	User Rights	Right of access by the data subject	https://gdpr-info.eu/art-15-gdpr	15
61	Users must be informed at or reasonably around the time of collection, prior to processing, and not any later than a legitimate recipient obtains the personal data. Controllers must inform users of any necessary repurposing or disclosure.	Transparency	Informing users of your system	Users must be informed at or reasonably around the time of collection, prior to processing, and not any later than a legitimate recipient obtains the personal data. Controllers must inform users of any necessary repurposing or disclosure.  Information to be provided whether personal data are obtained from the data subject or not; Recital 61 	As this information influences consent, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a>, and <a class="pattern" href="https://privacypatterns.org/patterns/Negotiation-of-Privacy-Policy">Negotiation of Privacy Policy</a> should mention it. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a>, <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>, a <a class="pattern" href="https://privacypatterns.org/patterns/Privacy-Awareness-Panel">Privacy Awareness Panel</a>, or other <a class="pattern" href="https://privacypatterns.org/patterns/Appropriate-Privacy-Feedback">Appropriate Privacy Feedback</a>. Notice on this may further be <a class="pattern" href="https://privacypatterns.org/patterns/Ambient-Notice">Ambient</a> or <a class="pattern" href="https://privacypatterns.org/patterns/Asynchronous-Notice">Asynchronous</a>. Due to potential for misuse, <a class="pattern" href="https://privacypatterns.org/patterns/Reciprocity">Reciprocity</a> and Payback also benefit. This may also feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Information to be provided whether personal data are obtained from the data subject or not	https://gdpr-info.eu/chapter-3	13,14
62	Users do not need to be informed where it poses a disproportionate burden, or is required by law. Archiving, statistical, scientific, or historic purposes may make such an effort disproportionate.	Transparency Derogation, Legal Obligation, Public Interest	Informing users of your system	Users do not need to be informed where it poses a disproportionate burden, or is required by law. Archiving, statistical, scientific, or historic purposes may make such an effort disproportionate.  Information to be provided whether personal data are obtained from the data subject or not; Recital 62 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It may also include <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	General Obligations	Information to be provided whether personal data are obtained from the data subject or not	https://gdpr-info.eu/chapter-3	13,14
A14	When not obtained from users, controllers must provide information on processing within a reasonable period of at most one month, at the first communication with the user, or else before the data is disclosed. This does not apply if provision is disproportionate, expressed by Union or member state law which protects user rights, or must be kept confidential due to professional or statutory secrecy.	Transparency, Obtained Data, Secrecy	Informing users of your system	When not obtained from users, controllers must provide information on processing within a reasonable period of at most one month, at the first communication with the user, or else before the data is disclosed. This does not apply if provision is disproportionate, expressed by Union or member state law which protects user rights, or must be kept confidential due to professional or statutory secrecy.  Processing of special categories of personal data; Recital A14 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>.	General Obligations	Processing of special categories of personal data	https://gdpr-info.eu/art-14-gdpr	14
113	Properly assessed and low volume international transfers may be permitted for legitimate interests only where other grounds are not applicable, and user rights are not undermined. Users and supervisory authorities should be informed of such transfers.	Legitimate Interest	Legitimate interests for processing in a third country	Properly assessed and low volume international transfers may be permitted for legitimate interests only where other grounds are not applicable, and user rights are not undermined. Users and supervisory authorities should be informed of such transfers.  Derogations for specific situations; Recital 113 	This may feature within <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. It may also be mentioned in <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, as it may influence consent. This is also related to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>. 	Grounds	Derogations for specific situations	https://gdpr-info.eu/art-49-gdpr	49
